Source,Target,Type,ID,Label,Weight
75,180,Directed,494,,2
75,197,Directed,495,,1
75,220,Directed,496,,1
76,10,Directed,497,,2
76,11,Directed,498,,3
76,12,Directed,499,,1
76,13,Directed,500,,1
76,18,Directed,501,,7
76,39,Directed,502,,1
76,53,Directed,503,,1
76,77,Directed,504,,1
77,11,Directed,505,,1
77,13,Directed,506,,4
77,18,Directed,507,,1
77,19,Directed,508,,3
77,39,Directed,509,,1
77,42,Directed,510,,1
77,76,Directed,511,,1
78,12,Directed,512,,1
78,54,Directed,513,,1
78,59,Directed,514,,1
78,60,Directed,515,,1
78,79,Directed,516,,1
78,79,Directed,517,,1
78,165,Directed,518,,2
78,166,Directed,519,,1
78,167,Directed,520,,1
78,174,Directed,521,,3
78,174,Directed,522,,1
78,180,Directed,523,,1
79,18,Directed,524,,1
79,53,Directed,525,,1
79,59,Directed,526,,2
79,78,Directed,527,,1
79,166,Directed,528,,1
79,180,Directed,529,,1
82,60,Directed,530,,1
82,166,Directed,531,,2
82,168,Directed,532,,1
82,175,Directed,533,,1
82,178,Directed,534,,2
82,181,Directed,535,,1
82,188,Directed,536,,1
82,210,Directed,537,,1
82,218,Directed,538,,1
82,225,Directed,539,,2
82,229,Directed,540,,4
82,233,Directed,541,,2
83,59,Directed,542,,6
83,115,Directed,543,,5
83,117,Directed,544,,1
83,131,Directed,545,,5
83,131,Directed,546,,2
83,167,Directed,547,,1
83,168,Directed,548,,4
83,175,Directed,549,,1
83,181,Directed,550,,1
83,184,Directed,551,,1
83,189,Directed,552,,2
83,197,Directed,553,,1
83,198,Directed,554,,4
83,218,Directed,555,,1
83,226,Directed,556,,1
83,230,Directed,557,,2
83,234,Directed,558,,1
84,6,Directed,559,,1
84,60,Directed,560,,1
84,132,Directed,561,,6
84,132,Directed,562,,1
84,168,Directed,563,,1
84,175,Directed,564,,1
84,178,Directed,565,,1
84,184,Directed,566,,4
84,198,Directed,567,,1
84,211,Directed,568,,1
84,227,Directed,569,,2
108,70,Directed,570,,1
108,70,Directed,571,,2
110,12,Directed,572,,1
110,13,Directed,573,,2
110,53,Directed,574,,1
110,53,Directed,575,,4
110,54,Directed,576,,17
110,55,Directed,577,,1
110,56,Directed,578,,1
110,57,Directed,579,,1
110,57,Directed,580,,6
110,58,Directed,581,,13
110,175,Directed,582,,1
115,117,Directed,583,,1
115,179,Directed,584,,5
115,189,Directed,585,,5
115,193,Directed,586,,1
116,60,Directed,587,,2
116,184,Directed,588,,5
116,186,Directed,589,,1
116,187,Directed,590,,3
116,188,Directed,591,,4
116,189,Directed,592,,2
116,192,Directed,593,,1
117,59,Directed,594,,1
117,60,Directed,595,,1
117,115,Directed,596,,1
117,115,Directed,597,,1
117,184,Directed,598,,3
117,185,Directed,599,,2
117,186,Directed,600,,1
117,187,Directed,601,,2
117,188,Directed,602,,1
117,189,Directed,603,,4
117,191,Directed,604,,2
117,198,Directed,605,,1
117,232,Directed,606,,2
120,51,Directed,607,,1
120,166,Directed,608,,1
120,178,Directed,609,,10
120,191,Directed,610,,4
120,192,Directed,611,,3
120,225,Directed,612,,1
121,83,Directed,613,,1
121,115,Directed,614,,7
121,179,Directed,615,,11
121,190,Directed,616,,1
121,191,Directed,617,,2
121,192,Directed,618,,2
121,193,Directed,619,,1
121,226,Directed,620,,3
122,59,Directed,621,,1
122,116,Directed,622,,1
122,132,Directed,623,,2
122,168,Directed,624,,1
122,175,Directed,625,,7
122,186,Directed,626,,1
122,187,Directed,627,,1
122,192,Directed,628,,2
122,193,Directed,629,,2
122,231,Directed,630,,2
123,117,Directed,631,,1
123,131,Directed,632,,2
123,175,Directed,633,,6
123,186,Directed,634,,1
123,191,Directed,635,,2
123,193,Directed,636,,1
123,197,Directed,637,,1
123,230,Directed,638,,1
123,232,Directed,639,,1
124,79,Directed,640,,1
124,122,Directed,641,,1
124,132,Directed,642,,1
124,175,Directed,643,,2
124,178,Directed,644,,11
124,191,Directed,645,,1
124,192,Directed,646,,4
124,193,Directed,647,,1
124,227,Directed,648,,3
125,165,Directed,649,,2
125,175,Directed,650,,1
125,179,Directed,651,,1
125,191,Directed,652,,3
125,192,Directed,653,,2
125,193,Directed,654,,3
125,228,Directed,655,,4
125,232,Directed,656,,1
126,53,Directed,657,,1
126,53,Directed,658,,5
126,54,Directed,659,,1
126,57,Directed,660,,4
126,58,Directed,661,,2
126,66,Directed,662,,1
126,140,Directed,663,,1
126,160,Directed,664,,1
126,162,Directed,665,,1
127,53,Directed,666,,3
127,54,Directed,667,,7
127,57,Directed,668,,1
127,58,Directed,669,,3
127,67,Directed,670,,1
127,150,Directed,671,,3
127,160,Directed,672,,1
127,160,Directed,673,,1
127,162,Directed,674,,1
131,83,Directed,675,,2
131,167,Directed,676,,2
131,168,Directed,677,,1
131,174,Directed,678,,1
131,175,Directed,679,,1
131,184,Directed,680,,1
131,189,Directed,681,,1
131,216,Directed,682,,2
131,230,Directed,683,,1
132,6,Directed,684,,1
132,84,Directed,685,,1
132,124,Directed,686,,1
132,166,Directed,687,,1
132,168,Directed,688,,1
132,175,Directed,689,,1
132,178,Directed,690,,1
132,184,Directed,691,,1
132,189,Directed,692,,1
132,213,Directed,693,,3
132,229,Directed,694,,1
139,63,Directed,695,,1
139,65,Directed,696,,1
139,140,Directed,697,,1
139,158,Directed,698,,2
140,53,Directed,699,,9
140,54,Directed,700,,6
140,57,Directed,701,,1
150,53,Directed,702,,5
150,53,Directed,703,,2
150,54,Directed,704,,3
150,54,Directed,705,,7
150,55,Directed,706,,2
150,56,Directed,707,,6
150,57,Directed,708,,5
150,58,Directed,709,,1
150,59,Directed,710,,1
150,60,Directed,711,,1
150,66,Directed,712,,3
150,70,Directed,713,,1
150,110,Directed,714,,1
150,127,Directed,715,,1
150,160,Directed,716,,1
150,162,Directed,717,,2
150,216,Directed,718,,2
157,5,Directed,719,,1
157,44,Directed,720,,1
157,53,Directed,721,,1
157,54,Directed,722,,2
157,55,Directed,723,,4
157,56,Directed,724,,5
157,64,Directed,725,,3
157,68,Directed,726,,1
157,70,Directed,727,,1
157,150,Directed,728,,1
157,159,Directed,729,,1
157,165,Directed,730,,2
157,174,Directed,731,,1
157,177,Directed,732,,1
157,197,Directed,733,,1
158,10,Directed,734,,3
158,47,Directed,735,,1
158,49,Directed,736,,5
158,49,Directed,737,,4
158,159,Directed,738,,2
159,11,Directed,739,,3
159,40,Directed,740,,1
159,50,Directed,741,,4
159,50,Directed,742,,4
159,55,Directed,743,,1
159,70,Directed,744,,1
159,73,Directed,745,,2
159,158,Directed,746,,2
159,161,Directed,747,,1
160,55,Directed,748,,4
160,56,Directed,749,,4
160,66,Directed,750,,1
160,67,Directed,751,,2
160,68,Directed,752,,1
160,115,Directed,753,,1
160,126,Directed,754,,1
160,127,Directed,755,,1
160,150,Directed,756,,1
160,178,Directed,757,,3
160,179,Directed,758,,3
160,204,Directed,759,,1
160,225,Directed,760,,1
161,12,Directed,761,,1
161,12,Directed,762,,2
161,13,Directed,763,,1
161,13,Directed,764,,4
161,68,Directed,765,,2
161,68,Directed,766,,2
161,69,Directed,767,,7
161,70,Directed,768,,2
161,166,Directed,769,,1
161,167,Directed,770,,1
161,174,Directed,771,,3
161,175,Directed,772,,1
161,193,Directed,773,,1
161,194,Directed,774,,2
161,218,Directed,775,,1
162,66,Directed,776,,1
162,150,Directed,777,,2
162,161,Directed,778,,2
165,117,Directed,779,,1
165,182,Directed,780,,1
165,184,Directed,781,,1
165,185,Directed,782,,1
165,186,Directed,783,,2
165,187,Directed,784,,1
165,188,Directed,785,,12
165,189,Directed,786,,1
165,201,Directed,787,,1
165,210,Directed,788,,1
165,211,Directed,789,,1
165,221,Directed,790,,2
165,222,Directed,791,,1
165,223,Directed,792,,2
165,224,Directed,793,,1
166,13,Directed,794,,2
166,51,Directed,795,,1
166,53,Directed,796,,1
166,55,Directed,797,,1
166,56,Directed,798,,1
166,56,Directed,799,,1
166,58,Directed,800,,1
166,59,Directed,801,,1
166,60,Directed,802,,3
166,79,Directed,803,,1
166,132,Directed,804,,1
166,161,Directed,805,,1
166,166,Directed,806,,1
166,167,Directed,807,,3
166,211,Directed,808,,1
166,213,Directed,809,,1
166,215,Directed,810,,1
166,216,Directed,811,,1
166,217,Directed,812,,1
166,221,Directed,813,,1
166,224,Directed,814,,2
166,224,Directed,815,,2
167,12,Directed,816,,1
167,54,Directed,817,,2
167,55,Directed,818,,1
167,56,Directed,819,,1
167,59,Directed,820,,2
167,60,Directed,821,,1
167,78,Directed,822,,1
167,131,Directed,823,,2
167,161,Directed,824,,1
167,165,Directed,825,,2
167,166,Directed,826,,3
167,167,Directed,827,,1
167,174,Directed,828,,1
167,174,Directed,829,,1
167,175,Directed,830,,1
167,210,Directed,831,,1
167,212,Directed,832,,1
167,214,Directed,833,,1
167,216,Directed,834,,1
167,218,Directed,835,,1
167,221,Directed,836,,1
167,221,Directed,837,,1
167,222,Directed,838,,1
167,223,Directed,839,,2
168,43,Directed,840,,2
168,53,Directed,841,,5
168,54,Directed,842,,6
168,68,Directed,843,,1
168,69,Directed,844,,1
168,69,Directed,845,,1
168,75,Directed,846,,1
168,176,Directed,847,,1
168,177,Directed,848,,1
168,183,Directed,849,,1
168,217,Directed,850,,2
168,221,Directed,851,,3
168,222,Directed,852,,3
168,224,Directed,853,,1
171,55,Directed,854,,10
171,56,Directed,855,,1
171,63,Directed,856,,1
171,65,Directed,857,,1
171,67,Directed,858,,2
171,176,Directed,859,,4
174,12,Directed,860,,3
174,60,Directed,861,,2
174,68,Directed,862,,4
174,69,Directed,863,,1
174,69,Directed,864,,1
174,78,Directed,865,,1
174,131,Directed,866,,1
174,167,Directed,867,,1
174,167,Directed,868,,1
174,180,Directed,869,,1
174,198,Directed,870,,4
174,234,Directed,871,,1
174,236,Directed,872,,1
175,5,Directed,873,,1
175,52,Directed,874,,1
175,79,Directed,875,,1
175,82,Directed,876,,1
175,82,Directed,877,,1
175,83,Directed,878,,1
175,83,Directed,879,,1
175,84,Directed,880,,1
175,84,Directed,881,,1
175,110,Directed,882,,1
175,122,Directed,883,,2
175,123,Directed,884,,1
175,131,Directed,885,,1
175,131,Directed,886,,2
175,132,Directed,887,,1
175,165,Directed,888,,8
175,166,Directed,889,,5
175,167,Directed,890,,4
175,178,Directed,891,,4
175,179,Directed,892,,3
175,192,Directed,893,,2
175,193,Directed,894,,1
175,236,Directed,895,,1
176,13,Directed,896,,1
176,18,Directed,897,,1
176,53,Directed,898,,1
176,54,Directed,899,,2
176,55,Directed,900,,2
176,56,Directed,901,,3
176,59,Directed,902,,2
176,60,Directed,903,,3
176,166,Directed,904,,1
176,181,Directed,905,,1
176,186,Directed,906,,1
176,187,Directed,907,,1
176,201,Directed,908,,1
176,202,Directed,909,,3
176,203,Directed,910,,2
176,222,Directed,911,,1
176,223,Directed,912,,1
177,12,Directed,913,,1
177,12,Directed,914,,4
177,19,Directed,915,,1
177,53,Directed,916,,3
177,53,Directed,917,,2
177,54,Directed,918,,1
177,55,Directed,919,,2
177,56,Directed,920,,1
177,59,Directed,921,,3
177,60,Directed,922,,2
177,66,Directed,923,,1
177,68,Directed,924,,1
177,167,Directed,925,,1
177,181,Directed,926,,1
177,181,Directed,927,,1
177,186,Directed,928,,2
177,187,Directed,929,,1
177,194,Directed,930,,1
177,202,Directed,931,,1
177,203,Directed,932,,3
177,221,Directed,933,,2
177,222,Directed,934,,4
178,131,Directed,935,,1
178,190,Directed,936,,1
179,131,Directed,937,,1
179,190,Directed,938,,1
180,9,Directed,939,,1
180,51,Directed,940,,1
180,75,Directed,941,,1
180,78,Directed,942,,1
